date,precipDays
2010-01-31,3.6
2010-02-28,3.75
2010-03-31,1.5
2010-04-30,2.75
2010-05-31,2.0
2010-06-30,3.0
2010-07-31,2.25
2010-08-31,1.2
2010-09-30,2.75
2010-10-31,4.0
2010-11-30,3.75
2010-12-31,4.75
2011-01-31,5.2
2011-02-28,5.5
2011-03-31,4.5
2011-04-30,3.0
2011-05-31,4.4
2011-06-30,2.0
2011-07-31,1.2
2011-08-31,2.75
2011-09-30,3.0
2011-10-31,3.4
2011-11-30,3.0
2011-12-31,5.0
2012-01-31,5.2
2012-02-29,4.25
2012-03-31,4.0
2012-04-30,3.2
2012-05-31,2.75
2012-06-30,3.0
2012-07-31,1.8
2012-08-31,2.25
2012-09-30,2.6
2012-10-31,5.0
2012-11-30,3.25
2012-12-31,4.2
2013-01-31,4.0
2013-02-28,6.5
2013-03-31,4.6
2013-04-30,4.0
2013-05-31,2.25
2013-06-30,3.4
2013-07-31,3.75
2013-08-31,1.5
2013-09-30,2.6
2013-10-31,4.25
2013-11-30,4.75
2013-12-31,5.2
2014-01-31,6.0
2014-02-28,5.0
2014-03-31,4.2
2014-04-30,3.5
2014-05-31,3.25
2014-06-30,2.8
2014-07-31,3.75
2014-08-31,2.6
2014-09-30,4.5
2014-10-31,4.5
2014-11-30,4.4
2014-12-31,2.75
2015-01-31,5.0
2015-02-28,5.25
2015-03-31,4.2
2015-04-30,4.0
2015-05-31,2.4
2015-06-30,2.75
2015-07-31,2.0
2015-08-31,2.4
2015-09-30,1.5
2015-10-31,3.0
2015-11-30,3.6
2015-12-31,4.0
2016-01-31,5.4
2016-02-29,5.0
2016-03-31,5.0
2016-04-30,4.0
2016-05-31,2.0
2016-06-30,2.5
2016-07-31,2.6
2016-08-31,2.5
2016-09-30,1.75
2016-10-31,4.0
2016-11-30,3.25
2016-12-31,5.25
2017-01-31,5.6
2017-02-28,5.0
2017-03-31,5.0
2017-04-30,3.8
2017-05-31,4.25
2017-06-30,3.0
2017-07-31,2.5
